,T001,T002,T003,T004,T005,T006,T007,T008,T009,T010,T011,T012,T013,T014,T015,T016,T017,T018,T020
ENSG00000000003,625,4241,586,1038,2040,381,1089,1640,2240,1137,1450,4995,3510,1356,1575,2474,1481,2086,1133
ENSG00000000005,1,30,1,5,15,2,31,30,26,4,7,90,4,1,0,19,85,64,12
ENSG00000000419,1176,1938,2012,1726,2355,991,2481,1106,820,1166,1662,2123,1925,1693,1201,1734,1286,1079,1997
ENSG00000000457,1794,1289,2384,577,1227,1014,1361,891,1332,1044,1933,3193,1783,1912,1064,2122,1738,2754,2046
ENSG00000000460,752,683,1295,404,944,321,429,413,617,454,1166,4100,2396,744,533,1110,539,449,1272
ENSG00000000938,362,638,1559,842,273,372,750,1414,762,574,544,541,430,1076,2093,413,391,829,549
ENSG00000000971,1371,4793,2528,2245,2382,2599,1240,12138,6211,6034,3934,2427,1851,6598,8292,5515,4930,9872,5479
ENSG00000001036,2696,7004,4846,3855,3635,1589,3525,3534,3026,4515,4805,3488,3631,3474,4555,2006,4774,3000,3717
ENSG00000001084,644,1269,2510,1558,2688,663,1075,1222,872,972,1789,2534,1893,2796,1500,1312,2728,1896,3862
ENSG00000001167,1677,2963,4977,3486,3751,1202,2220,2237,1420,1779,3651,5517,4920,4593,3723,2518,2840,2500,4663
ENSG00000001460,296,938,642,382,1078,521,305,427,976,520,472,946,968,593,453,681,581,452,530
ENSG00000001461,945,3464,1626,1494,3001,1291,1192,1828,2278,3218,1621,2686,5957,1576,1898,2783,2838,2730,1663
ENSG00000001497,3014,2520,4452,2577,5915,1904,3199,2173,3277,2460,4206,4059,3514,2940,2163,2279,3296,2552,3582
ENSG00000001561,421,693,151,530,338,927,107,682,410,795,644,984,820,412,720,663,536,893,1954
ENSG00000001617,9464,2479,6533,1815,8577,5914,3284,3911,6978,6388,7933,3669,2262,10358,2016,7515,8828,3754,12543
ENSG00000001626,11,24,2,26,4,1,75,16,43,9,7,48,8,42,14,13,2,10,9
ENSG00000001629,1698,2602,2854,3396,2537,2235,3432,2056,2919,2404,1945,3099,3361,2548,4198,3569,2932,4804,4841
ENSG00000001630,155,212,225,82,114,160,258,96,196,157,115,114,100,218,141,218,574,709,240
ENSG00000001631,764,1413,1591,1208,2198,1787,1990,1152,1418,1315,954,2518,2323,1743,1701,1838,1527,2217,2471
ENSG00000002016,1176,454,850,409,976,712,1565,771,796,823,470,1911,1223,616,695,972,900,956,1100
ENSG00000002079,6,5,1,46,2,1,79,16,8,7,1,0,60,1725,10,3,8,1,3
ENSG00000002330,2763,3971,1446,2782,2645,3448,1600,2611,2134,3408,5711,2148,2348,2337,1742,3314,4027,2909,2678
ENSG00000002549,4805,8134,12452,8775,5226,1673,3036,10318,4302,3762,9698,4664,9694,8747,15858,5947,7632,7180,8259
ENSG00000002586,5326,13173,12339,6963,11516,8534,10613,14548,18982,21414,10868,20245,6750,18775,12102,8024,7880,16660,11023
ENSG00000002587,219,420,77,370,126,133,339,235,141,243,256,227,347,410,218,169,331,461,191
ENSG00000002726,90,55,15579,213,56,123,63,238,213,44,68,77,97,134,125,19,202,33,945
ENSG00000002745,1,14,11,2,2,1,5,14,7,0,3,2,2,1,8,4,0,5,1
ENSG00000002746,8,8,11,111,57,60,35,15,18,75,60,4,25,44,149,21,21,40,29
ENSG00000002822,1316,1498,2770,1014,1582,1247,1642,1340,1668,1660,1248,1422,1523,1335,1724,1523,2083,1542,1552
ENSG00000002834,44468,13116,29457,19847,26764,11477,126358,14434,169617,46911,18381,25685,9786,38909,21028,18098,32352,17391,55916
ENSG00000002919,2888,1312,2312,1530,2095,964,972,1743,2153,1584,2237,1426,952,1649,1686,1173,1512,1000,2029
ENSG00000002933,1001,3308,2494,3669,847,41888,1511,8434,4577,4123,1727,1979,8296,3060,4820,2308,6757,4140,3255
ENSG00000003056,4081,5079,3248,8835,7681,2256,3008,5799,3354,3842,4198,4571,6967,4104,8360,6201,5612,5291,7529
ENSG00000003096,45,545,92,151,72,196,1253,660,657,60,99,411,1143,150,68,327,2802,1599,323
ENSG00000003137,138,119,238,292,188,117,185,223,263,162,166,108,106,175,433,224,296,315,182
ENSG00000003147,2749,1763,308,1080,3437,3348,3105,1827,3065,2649,4024,2803,2243,3211,1457,4899,3022,2657,3694
ENSG00000003249,4455,3487,8364,2818,3016,3175,1880,681,2238,2491,3281,3397,277,11832,1170,1688,3793,1899,1961
ENSG00000003393,991,1409,2179,2192,1098,1421,1382,1223,2052,1172,1240,2545,1743,1420,1681,1724,1689,1583,1859
ENSG00000003400,194,1221,3405,692,342,343,1359,1422,692,751,457,783,465,1629,2293,682,985,1816,623
ENSG00000003402,2654,6726,11789,17848,4422,2128,6519,8332,6615,4826,3767,7011,9956,7360,11000,4962,8706,10048,5108
ENSG00000003436,176,1351,1672,879,892,1385,691,2334,1407,320,350,1498,420,466,674,882,1267,2533,480
ENSG00000003509,406,711,873,828,992,683,781,777,770,668,670,1258,628,578,694,653,689,719,767
ENSG00000003756,5352,5682,11370,4790,6747,15649,8605,8340,9692,8176,5855,6494,3935,13289,6677,10128,10769,11032,9684
